ID: 1384
State: Kentucky
Date: Tuesday
Item: 862
Review: accept enjoy worshiped snubbing nonsense worsen nuts unethical collapsing 
Item: 458
Review: stops stop promote honor defer consent dumps confused frikin unresearched oversell stampede woeful fiasco perpetrator madly unconcerned coward 
Item: 838
Review: achievable vexation reassure lackadaisical crap sad diffident spam sadden 
Item: 653
Review: unsure promise joyful unconvinced scared loathed distorts mistake danger ashamed moans 
Item: 53
Review: shy humor robust forgiving brightest revenge obsolete inferior overreacted unsecured slashing fatalities illness trouble 
Item: 307
Review: ability coziness adorable helping touted distracted trickery insulted outcry thwarts 
