ID: 1626
State: Oklahoma
Date: Tuesday
Item: 586
Review: share hug lethargy accusing cornered lethargic 
Item: 221
Review: enrapture relieving ambitious fitness restored intelligent murdering distorted travesty helpless abhors awful slashing perpetrators misleading lunatic rant 
Item: 603
Review: adopts TRUE mischief brave prospects disappointments punishes choked badass fatalities insulting selfishness misinformation 
Item: 725
Review: impresses broke vitamin discarded superior irony trap suffering apprehensive badass bully timorous screwed risks unappreciated aggravates prblms starving criticism 
Item: 823
Review: worshiped smiling useless rig dear lovable critic derision contempt lost illiteracy shaky foreclosures illegal assassinations 
