ID: 960
State: Alabama
Date: Friday
Item: 60
Review: vested hopeful humourous stimulated appreciate virtuous exposes ineffective shameful dreary blurry 
Item: 837
Review: youthful amazing earnest useful sparkle dehumanized advanced pollutes deceitful 
Item: 654
Review: satisfied miracle raptures ratified splendid brilliant wooo fallen dreams bitch infuriate vitriolic arrested 
Item: 604
Review: futile wins growth effectively approved impress amazes celebrated revive intricate joyful somber foreclosure vicious profiteer misinformed exclude insults stressed 
Item: 950
Review: praising romance fascinating ha hides stopping aggressive cheated 
Item: 380
Review: praises buoyant euphoria wowow merry gleeful enchanted losing contemptuously greeted discouraged dehumanizes 
