ID: 2445
State: Colorado
Date: Wednesday
Item: 581
Review: haunts pleasant brightest cautious motivated sullen sarcastic criticized disregard collapses insult idiotic interrupt charmless 
Item: 410
Review: farce clarity vexing improving buoyant angry rageful insanity unfulfilled rage suspicious failure hopeless misbehaves 
Item: 53
Review: adventure hailed rescued boosts nifty rigged outmaneuvered unemployment resentful sleeplessness hooligans cocky exaggerate sulking madness 
Item: 311
Review: commits intrigues touts frauds indoctrinated heartbreaking colluding 
Item: 14
Review: validating unstoppable joyous awaited sceptical frustrates prick lagged miss felony loser messed 
