ID: 1827
State: Washington
Date: Monday
Item: 623
Review: empathetic best brightness apologizes overlooked deceit protesting victimized hostile crazier nasty horrible exhausted 
Item: 193
Review: pretend unified endorse meditative fun accepting exposing toothless hurts blames gullible fuked damned screams unprofessional conflicting debt grieved dupe 
Item: 425
Review: suspect influential tension honest apology beautify scam moron mock libelous drowned oversells seditious cynic toothless 
Item: 864
Review: reject funky betray profiteer perpetrators oversells terrified 
Item: 410
Review: usefulness hoping criticizing foreclosure flu punish disgusting 
