ID: 2248
State: California
Date: Friday
Item: 474
Review: admiring affectionate clarity solved admires acquitting fervent impressed eager serene infatuated boycotts promote aghast oppressive insulting protesters abandons ineffectively 
Item: 857
Review: fascinated exciting rescues fan elation competent hail responsible outreach relieved elation fud harming passive confusing hating lethargic agonised cry 
Item: 996
Review: soothe warmth impressed cherished rotflol success kills fatality destroying contagious 
Item: 464
Review: commitment relieves tender defender lively paradise miss victimizes scandalous charges cheat 
Item: 669
Review: improving praise virtuous irresistible tension shaky sadden expels 
